Landscape;Category;Transect_type;Species;Indiv
1278;PL.LRD;Small road;Zygaena viciae;4
1450;NoPL.HRD;Big road;Aglais urticae;1
1450;NoPL.HRD;Big road;Aphantopus hyperantus;6
1450;NoPL.HRD;Big road;Argynnis aglaja;2
1450;NoPL.HRD;Big road;Coenonympha arcania;7
1450;NoPL.HRD;Big road;Inachis io;2
1450;NoPL.HRD;Big road;Pieris napi;4
1450;NoPL.HRD;Big road;Polygonia c-album;1
1450;NoPL.HRD;Big road;Thymelicus lineola;3
1450;NoPL.HRD;Pasture;Aglais urticae;1
1450;NoPL.HRD;Pasture;Aphantopus hyperantus;6
1450;NoPL.HRD;Pasture;Argynnis aglaja;4
1450;NoPL.HRD;Pasture;Argynnis paphia;3
1450;NoPL.HRD;Pasture;Aricia artaxerxes;1
1450;NoPL.HRD;Pasture;Brenthis ino;1
1450;NoPL.HRD;Pasture;Coenonympha arcania;5
1450;NoPL.HRD;Pasture;Coenonympha pamphilus;1
1450;NoPL.HRD;Pasture;Gonepteryx rhamni;2
1450;NoPL.HRD;Pasture;Inachis io;9
1450;NoPL.HRD;Pasture;Maniola jurtina;2
1450;NoPL.HRD;Pasture;Pieris napi;1
1450;NoPL.HRD;Pasture;Polyommatus amandus;5
1450;NoPL.HRD;Pasture;Polyommatus icarus;1
1450;NoPL.HRD;Pasture;Thymelicus lineola;7
1450;NoPL.HRD;Small road;Aglais urticae;2
1450;NoPL.HRD;Small road;Argynnis aglaja;4
1450;NoPL.HRD;Small road;Argynnis paphia;5
1450;NoPL.HRD;Small road;Coenonympha arcania;1
1450;NoPL.HRD;Small road;Gonepteryx rhamni;3
1450;NoPL.HRD;Small road;Inachis io;7
1450;NoPL.HRD;Small road;Leptidea sinapis/reali;2
1450;NoPL.HRD;Small road;Pieris brassicae;1
1450;NoPL.HRD;Small road;Pieris napi;3
1450;NoPL.HRD;Small road;Polygonia c-album;1
1450;NoPL.HRD;Small road;Thymelicus lineola;3
1605;NoPL.HRD;Big road;Aphantopus hyperantus;5
1605;NoPL.HRD;Big road;Argynnis paphia;1
1605;NoPL.HRD;Big road;Brenthis ino;1
1605;NoPL.HRD;Big road;Coenonympha arcania;1
1605;NoPL.HRD;Big road;Gonepteryx rhamni;1
1605;NoPL.HRD;Big road;Lasiommata megera;1
1605;NoPL.HRD;Big road;Ochlodes sylvanus;1
1605;NoPL.HRD;Big road;Pieris brassicae;3
1605;NoPL.HRD;Big road;Pieris napi;3
1605;NoPL.HRD;Pasture;Aglais urticae;1
1605;NoPL.HRD;Pasture;Argynnis aglaja;3
1605;NoPL.HRD;Pasture;Boloria selene;1
1605;NoPL.HRD;Pasture;Coenonympha pamphilus;2
1605;NoPL.HRD;Pasture;Gonepteryx rhamni;2
1605;NoPL.HRD;Pasture;Inachis io;1
1605;NoPL.HRD;Pasture;Lycaena phlaeas;2
1605;NoPL.HRD;Pasture;Maniola jurtina;1
1605;NoPL.HRD;Pasture;Melitaea athalia;1
1605;NoPL.HRD;Pasture;Pieris napi;2
1605;NoPL.HRD;Pasture;Polyommatus icarus;1
1605;NoPL.HRD;Small road;Aphantopus hyperantus;2
1605;NoPL.HRD;Small road;Pieris napi;1
1851;PL.HRD;Between fields;Aglais urticae;1
1851;PL.HRD;Between fields;Aphantopus hyperantus;7
1851;PL.HRD;Between fields;Coenonympha arcania;5
1851;PL.HRD;Between fields;Coenonympha pamphilus;1
1851;PL.HRD;Between fields;Maniola jurtina;1
